Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
6.613413095,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
6.644063711,20.44432329,86,-11.20330497,25,0,0,1620,,,,,
6.676120281,21.80727818,90,-10.85320169,26,-1,0,1620,,,,,
6.708040714,19.76284585,84,-10.85320169,26,1,0,1560,,,,4.533953683,0.819929265
6.740129471,19.76284585,84,-11.20330497,25,0,-1,1620,,,,,
6.772142649,20.44432329,86,-11.90351154,23,0,0,1560,,,,,
6.804443836,24.19244923,97,-11.20330497,25,0,0,1620,,,,,
6.836105108,27.25909772,106,-11.20330497,25,-1,0,1620,,,,,
6.868255138,24.53318795,98,-11.90351154,23,-1,-1,1680,,,,,
6.900261879,23.51097179,95,-11.20330497,25,0,0,1620,,,,,
6.932285309,23.85171051,96,-11.20330497,25,0,0,1620,,,,,
6.964334726,20.44432329,86,-11.20330497,25,0,1,1620,,,,,
6.996268749,21.80727818,90,-10.85320169,26,-1,0,1620,,,,,
7.028107882,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
7.060383558,20.44432329,86,-10.85320169,26,0,0,1620,,,,,
7.092455149,22.48875562,92,-10.50309841,27,0,0,1620,,,,,
7.124415874,22.1480169,91,-11.20330497,25,-1,0,1620,,,,,
7.156444311,21.46653946,89,-11.20330497,25,0,0,1560,,,,,
7.188502073,23.17023307,94,-10.85320169,26,-1,1,1680,,,,,
7.220520735,23.51097179,95,-11.20330497,25,-1,0,1620,,,,,
7.252465725,20.10358457,85,-11.20330497,25,0,0,1560,,,,,
7.284543753,20.44432329,86,-11.20330497,25,0,-1,1620,,,,,
7.316529989,19.08136841,82,-11.55340826,24,0,-1,1560,,,,,
7.348623753,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
7.380556583,21.12580074,88,-10.85320169,26,-1,0,1620,,,,,
7.41376996,21.46653946,89,-11.20330497,25,-1,0,1680,,,,,
7.460688829,22.48875562,92,-10.85320169,26,0,1,1620,,,,,
7.492851019,23.17023307,94,-11.20330497,25,0,-1,1620,,,,,
7.524649858,21.80727818,90,-10.85320169,26,1,1,1560,,,,,
7.556759357,23.17023307,94,-11.55340826,24,-1,0,1620,,,,,
7.588752747,23.51097179,95,-11.20330497,25,0,1,1680,,,,,
7.620741129,20.10358457,85,-10.85320169,26,-1,0,1680,,,,,
7.65273428,18.39989096,80,-11.20330497,25,0,0,1620,,,,,
7.684862852,20.78506201,87,-11.20330497,25,0,-1,1560,,,,,
7.717002153,23.51097179,95,-11.20330497,25,0,-1,1620,,,,,
7.748867989,21.80727818,90,-11.20330497,25,0,1,1620,,,,,
7.780918598,22.82949434,93,-10.85320169,26,0,0,1620,,,,,
7.812792063,24.87392667,99,-11.20330497,25,-1,-1,1620,,,,,
7.844656706,24.53318795,98,-11.55340826,24,0,1,1620,,,,,
7.876922607,21.46653946,89,-11.55340826,24,0,0,1620,,,,,
7.908861399,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
7.941026449,22.1480169,91,-11.90351154,23,0,0,1560,,,,,
7.973085165,21.12580074,88,-11.20330497,25,-1,0,1680,,,,,
8.004962921,22.1480169,91,-11.20330497,25,0,1,1560,,,,,
8.037104368,24.19244923,97,-11.20330497,25,-1,-1,1560,,,,,
8.069081306,22.82949434,93,-11.20330497,25,0,0,1620,,,,,
8.101128817,23.17023307,94,-11.55340826,24,-1,0,1620,,,,,
8.132916689,22.1480169,91,-10.85320169,26,0,0,1620,,,,,
8.165143728,20.78506201,87,-10.15299513,28,1,0,1620,,,,,
8.197206259,21.80727818,90,-11.20330497,25,-1,0,1620,,,,,
8.230636597,22.48875562,92,-11.20330497,25,0,0,1680,,,,,
8.261112452,24.53318795,98,-10.85320169,26,0,0,1620,,,,,
8.293284178,20.78506201,87,-10.15299513,28,0,0,1560,,,,,
8.325395584,23.85171051,96,-10.85320169,26,0,0,1620,,,,,
8.357061863,22.48875562,92,-11.20330497,25,0,0,1620,,,,,
8.389322519,21.80727818,90,-11.90351154,23,-1,-1,1680,,,,,
8.421349525,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
8.453362703,20.78506201,87,-10.85320169,26,-1,0,1680,,,,,
8.485375881,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
8.517595768,22.48875562,92,-11.55340826,24,0,0,1620,,,,,
8.549400806,21.46653946,89,-11.90351154,23,0,0,1680,,,,,
8.581472635,24.53318795,98,-11.90351154,23,0,0,1620,,,,,
8.613358736,23.51097179,95,-11.20330497,25,-1,1,1620,,,,,
8.645589828,23.17023307,94,-11.55340826,24,0,0,1620,,,,,
