Time Since Start, Startboard, Port, Front, Back, RPM 
14.72053814,25,83,92,1,7620
14.751791,25,85,69,1,7620
14.78306794,25,84,84,1,7620
14.81432295,24,83,87,1,7620
14.84557533,25,82,68,0,7500
14.87682486,25,84,90,1,7740
14.90810084,25,83,81,1,7740
14.93935275,25,85,69,2,7620
14.97060442,25,82,91,0,7620
15.001858,25,84,73,1,7620
15.0331099,25,83,75,1,7620
15.06436348,25,85,92,1,7620
15.09561539,24,83,69,1,7620
15.12684393,25,82,83,1,7740
15.15812111,25,84,87,1,7620
15.18937302,26,83,68,1,7620
15.22062564,25,84,88,1,7620
15.25187826,26,81,80,1,7620
15.28317261,25,84,70,2,7740
15.33006263,25,83,92,1,7620
15.34573412,25,85,74,2,7740
15.39257216,25,82,76,1,7920
15.42389154,25,84,92,1,7620
15.45511961,26,84,68,1,7620
15.48651719,27,85,82,1,7620
15.5177722,25,83,87,1,7620
15.5490222,25,83,68,1,7740
15.58022785,25,84,88,1,7620
15.61150312,25,83,82,1,7620
15.64275861,25,84,69,1,7740
15.67403173,25,81,92,0,7620
15.70528483,25,85,74,2,7740
15.73653698,25,83,75,1,7620
15.76779151,25,86,92,1,7740
15.79904246,25,82,69,2,7740
15.83027482,24,83,82,0,7740
15.86154795,25,84,88,1,7620
15.89277744,25,84,68,2,7620
15.92405248,25,83,88,1,7740
15.95530486,25,82,81,0,7740
16.00216198,25,84,69,2,7740
16.033391,25,83,92,1,7620
16.06464291,25,84,75,1,7740
16.09592009,25,81,75,0,7740
16.12717009,25,85,91,1,7620
16.15839696,25,83,69,1,7740
16.18969846,25,85,81,1,7620
16.2209518,25,83,88,0,7620
16.25220394,26,83,68,1,7620
16.28355193,25,84,88,1,7620
16.31480622,25,84,83,1,7620
16.34605765,25,83,69,1,7620
16.37728596,25,83,93,0,7620
16.40854049,25,84,76,1,7740
16.43981528,25,83,76,1,7620
16.47106671,25,85,93,1,7740
16.50231957,25,82,69,0,7740
16.53357244,25,84,82,1,7740
16.56482601,25,84,89,1,7620
16.59605026,25,84,69,1,7740
16.64290881,26,82,88,1,7740
16.65856028,25,83,83,1,7740
16.7054143,26,84,69,1,7740
16.736691,25,83,93,1,7620
16.76794553,25,84,76,1,7920
16.79921865,25,80,75,0,7620
16.83056808,25,85,92,1,7920
16.86180019,25,82,70,1,7740
16.893049,25,85,81,1,7740
16.9243257,26,82,88,0,7740
16.95557785,25,84,68,1,7620
16.98683071,25,85,87,1,7740
17.0180552,25,84,83,1,7740
17.04933596,25,83,69,1,7740
17.08058834,25,82,92,0,7620
17.11182237,26,84,75,2,7740
17.14307523,25,83,74,1,7740
17.17434525,25,84,92,2,7740
17.20559812,25,81,69,1,7620
17.23685169,25,84,80,1,7740
17.26808333,25,83,89,1,7620
17.31493235,26,85,68,2,7620
17.34619164,25,82,87,1,7740
17.37746572,25,83,83,1,7620
17.40871787,26,85,68,2,7620
17.43995237,25,83,92,1,7740
17.47124577,25,84,76,1,7740
17.50249863,25,81,73,1,7740
17.53374982,25,84,91,1,7740
17.5650022,25,83,71,1,7620
17.59625506,25,85,80,1,7740
17.62748337,25,82,88,1,7620
17.65873885,25,84,67,1,7620
17.6899929,25,85,87,1,7740
17.72121739,25,85,84,1,7620
17.75246811,25,83,69,1,7620
17.78371763,25,82,92,0,7620
17.81497097,26,84,77,1,7620
17.84622312,26,82,74,1,7740
17.87747574,26,85,93,1,7620
17.9087677,25,82,71,1,7740
17.95561337,25,84,80,0,7740
17.98686671,25,83,90,1,7620
18.01811981,25,85,69,1,7620
18.0493741,25,82,87,1,7740
18.08066964,25,83,83,1,7740
18.11192131,26,85,67,1,7740
18.14315057,25,83,92,1,7740
18.17438245,25,84,77,1,7620
18.20567942,25,81,74,1,7620
18.23688149,25,85,93,1,7620
18.26813316,25,83,70,1,7620
18.29938507,25,85,80,1,7740
18.33063745,25,82,90,0,7740
18.36188984,25,83,68,1,7740
18.39317942,25,84,86,1,7740
18.42439532,25,85,84,1,7620
18.45569634,25,83,69,1,7500
18.48695183,25,82,92,0,7620
18.51820564,25,85,77,1,7620
18.54945827,25,83,73,1,7620
18.5807097,25,84,93,1,7620
18.62753868,25,81,71,1,7740
18.65881824,25,85,80,1,7740
18.69005466,26,83,90,1,7740
18.72132587,26,86,68,2,7740
18.752599,25,82,87,1,7620
18.78385115,25,82,84,1,7620
18.81510377,25,84,68,2,7620
18.84635663,25,84,91,1,7740
18.87758827,26,83,77,1,7620
