Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,
3.815435648,0.340738722,26,-10.85320169,57,53,1,0,,0.787337285,0.782856309
3.847528934,0.681477443,27,-10.15299513,59,54,1,0,,22,52
3.879542828,0.340738722,26,-11.55340826,55,54,0,0,,29,60
3.911534071,0.340738722,26,-10.85320169,57,54,1,0,,25.81,56.944
3.943457365,0.340738722,26,-11.55340826,55,55,1,0,,,
3.975692987,0.340738722,26,-11.20330497,56,55,1,0,,,
4.007286787,0,25,-10.85320169,57,55,1,0,,,
4.039541483,0.340738722,26,-10.85320169,57,56,1,0,,,
4.071505547,0.340738722,26,-10.85320169,57,55,1,0,,,
4.103577614,0.340738722,26,-10.85320169,57,59,1,0,,,
4.135538578,0,25,-11.55340826,55,55,1,0,,,
4.167718887,0.340738722,26,-10.85320169,57,54,1,0,,,
4.199932098,0.681477443,27,-10.85320169,57,51,1,0,,,
4.231744051,0.340738722,26,-10.85320169,57,55,1,0,,,
4.263951778,-0.340738722,24,-10.85320169,57,54,1,0,,,
4.295930147,0.340738722,26,-10.85320169,57,53,0,0,,,
4.327887774,0.340738722,26,-10.50309841,58,55,0,0,,,
4.360085487,0.340738722,26,-10.85320169,57,49,0,0,,,
4.392566681,0,25,-10.85320169,57,58,1,0,,,
4.423399448,0.340738722,26,-10.85320169,57,55,0,0,,,
4.455490589,0.340738722,26,-10.85320169,57,51,1,0,,,
4.487410784,1.022216165,28,-10.85320169,57,54,0,0,,,
4.520024776,0,25,-10.15299513,59,55,1,0,,,
4.552130699,0.340738722,26,-10.85320169,57,54,0,0,,,
4.583954096,0.340738722,26,-10.85320169,57,55,0,0,,,
4.615993977,0.340738722,26,-11.20330497,56,54,0,0,,,
4.648141384,0.340738722,26,-10.85320169,57,57,1,0,,,
4.680049181,0,25,-10.85320169,57,55,1,0,,,
4.712033987,0.340738722,26,-10.85320169,57,57,1,0,,,
4.74437952,0.340738722,26,-11.20330497,56,55,0,0,,,
4.776155472,-0.340738722,24,-10.85320169,57,55,0,0,,,
4.8082757,0.340738722,26,-10.85320169,57,49,1,0,,,
4.839828491,0.340738722,26,-10.85320169,57,55,1,0,,,
4.87215662,0.340738722,26,-10.85320169,57,60,1,0,,,
4.904127598,0.340738722,26,-10.85320169,57,55,1,0,,,
4.936060905,1.022216165,28,-11.20330497,56,55,1,0,,,
4.968437672,0,25,-10.85320169,57,51,1,0,,,
5.000499964,0.340738722,26,-10.50309841,58,55,1,0,,,
5.032623053,-0.340738722,24,-11.90351154,54,56,1,0,,,
5.064325094,0.340738722,26,-10.85320169,57,56,1,0,,,
5.096491098,0.340738722,26,-10.85320169,57,53,1,0,,,
5.12849474,0.340738722,26,-10.85320169,57,56,1,0,,,
5.160622597,0,25,-10.85320169,57,52,2,0,,,
5.192816257,0.340738722,26,-10.85320169,57,56,1,0,,,
5.224411726,0.340738722,26,-10.50309841,58,47,1,0,,,
5.256179571,0.340738722,26,-10.85320169,57,50,1,0,,,
5.288414001,0.340738722,26,-11.20330497,56,56,0,0,,,
5.320448875,0.340738722,26,-10.85320169,57,53,0,0,,,
5.352652788,0.340738722,26,-10.85320169,57,60,1,0,,,
5.384450436,0.340738722,26,-11.55340826,55,55,0,0,,,
5.416282415,0.340738722,26,-10.85320169,57,56,0,0,,,
5.448776245,0.340738722,26,-11.20330497,56,56,1,0,,,
5.480694771,0.340738722,26,-10.85320169,57,56,1,0,,,
5.512526751,0.340738722,26,-10.85320169,57,56,1,0,,,
5.544794798,0.340738722,26,-10.85320169,57,51,2,0,,,
5.576846123,0.340738722,26,-10.85320169,57,54,1,0,,,
5.608934164,0,25,-11.20330497,56,54,1,0,,,
5.64104104,0.340738722,26,-10.85320169,57,55,0,0,,,
5.672281742,0.681477443,27,-10.85320169,57,56,1,0,,,
5.704479933,0.340738722,26,-10.85320169,57,49,1,0,,,
5.736549616,0.340738722,26,-10.85320169,57,55,1,0,,,
5.768788338,0.340738722,26,-10.85320169,57,53,1,0,,,
5.80060935,0.681477443,27,-10.15299513,59,49,1,0,,,
5.832932711,0.340738722,26,-10.85320169,57,56,1,0,,,
5.864918709,0,25,-10.50309841,58,55,1,0,,,
5.89708519,0.681477443,27,-10.50309841,58,54,1,0,,,
5.929119825,0.340738722,26,-10.85320169,57,55,0,0,,,
5.96099925,0,25,-10.85320169,57,55,1,0,,,
5.993210316,0.340738722,26,-10.85320169,57,54,1,0,,,
6.024976969,0.340738722,26,-10.85320169,57,55,1,0,,,
6.057082176,0.340738722,26,-10.85320169,57,52,1,0,,,
6.089126348,0.340738722,26,-9.802891853,60,54,0,0,,,
6.121063471,0.340738722,26,-10.85320169,57,49,1,0,,,
6.153296709,0,25,-10.85320169,57,55,0,0,,,
6.185173035,0.340738722,26,-10.85320169,57,52,0,0,,,
6.217226744,1.022216165,28,-10.85320169,57,54,1,0,,,
6.249005795,0.681477443,27,-10.85320169,57,58,1,0,,,
6.281203032,0.340738722,26,-10.85320169,57,58,1,0,,,
6.313359261,-0.340738722,24,-11.20330497,56,55,1,0,,,
6.345059156,0.340738722,26,-10.85320169,57,54,1,0,,,
6.377028465,0.340738722,26,-11.20330497,56,55,0,0,,,
6.409099102,0,25,-10.85320169,57,55,1,0,,,
6.441780567,0.340738722,26,-10.85320169,57,56,1,0,,,
6.473210812,0.340738722,26,-10.85320169,57,55,1,0,,,
6.505589485,-0.681477443,23,-10.85320169,57,55,1,0,,,
6.537335396,0.340738722,26,-10.85320169,57,53,1,0,,,
6.569344044,0,25,-10.85320169,57,54,1,0,,,
6.601666451,0.340738722,26,-10.85320169,57,53,1,0,,,
6.633294106,0.340738722,26,-10.85320169,57,54,0,0,,,
6.665731668,1.022216165,28,-10.85320169,57,51,1,0,,,
6.697696447,0.681477443,27,-10.15299513,59,45,1,0,,,
6.729315519,0.340738722,26,-11.20330497,56,53,1,0,,,
6.761281013,0,25,-10.85320169,57,54,1,0,,,
